0,0,0,,,,,,,,
1,101,,,,,16:06:43.4,,16:06:43.4,,,,,,,16:06:43.4,16:06:43.4,,
2,101+,,,,,16:06:43.6,,0.2,,,,,,,0.2,0.2,,
3,102,,,,,16:06:47.6,,4.2,,,,,,,4.0,4.0,,
4,102+,,,,,16:06:47.7,,4.3,,,,,,,0.1,0.1,,
5,103,,,,,16:07:28.2,,44.8,,,,,,,40.5,40.5,,
6,103+,,,,,16:07:28.3,,44.9,,,,,,,0.1,0.1,,
7,104,,,,,16:07:31.2,,47.8,,,,,,,2.9,2.9,,
8,104+,,,,,16:07:31.4,,48.0,,,,,,,0.2,0.2,,
9,105,,,,,16:07:42.0,,58.6,,,,,,,10.6,10.6,,
10,105+,,,,,16:07:42.2,,58.8,,,,,,,0.2,0.2,,
11,106,,,,,16:08:04.4,,1:21.0,,,,,,,22.2,22.2,,
12,106+,,,,,16:08:04.6,,1:21.2,,,,,,,0.2,0.2,,
13,107,,,,,16:08:07.7,,1:24.3,,,,,,,3.1,3.1,,
14,107+,,,,,16:08:08.0,,1:24.6,,,,,,,0.3,0.3,,
15,108,,,,,16:08:26.5,,1:43.1,,,,,,,18.5,18.5,,
16,108+,,,,,16:08:26.7,,1:43.3,,,,,,,0.2,0.2,,
17,109,,,,,16:08:43.4,,2:00.0,,,,,,,16.7,16.7,,
18,109+,,,,,16:08:43.5,,2:00.1,,,,,,,0.1,0.1,,
19,110,,,,,16:08:49.4,,2:06.0,,,,,,,5.9,5.9,,
20,110+,,,,,16:08:49.6,,2:06.2,,,,,,,0.2,0.2,,
21,111,,,,,16:09:13.7,,2:30.3,,,,,,,24.1,24.1,,
22,111+,,,,,16:09:13.9,,2:30.5,,,,,,,0.2,0.2,,
23,112,,,,,16:09:19.9,,2:36.5,,,,,,,6.0,6.0,,
24,112+,,,,,16:09:20.0,,2:36.6,,,,,,,0.1,0.1,,
25,113,,,,,16:09:25.9,,2:42.5,,,,,,,5.9,5.9,,
26,113+,,,,,16:09:26.1,,2:42.7,,,,,,,0.2,0.2,,
27,114,,,,,16:09:55.3,,3:11.9,,,,,,,29.2,29.2,,
28,114+,,,,,16:09:55.5,,3:12.1,,,,,,,0.2,0.2,,
29,115,,,,,16:10:00.2,,3:16.8,,,,,,,4.7,4.7,,
30,115+,,,,,16:10:00.2,,3:16.8,,,,,,,0.0,0.0,,
31,116,,,,,16:10:02.5,,3:19.1,,,,,,,2.3,2.3,,
32,116+,,,,,16:10:02.7,,3:19.3,,,,,,,0.2,0.2,,
33,117,,,,,16:10:48.4,,4:05.0,,,,,,,45.7,45.7,,
34,117+,,,,,16:10:48.5,,4:05.1,,,,,,,0.1,0.1,,
35,161,,,,,16:10:51.3,,4:07.9,,,,,,,2.8,2.8,,
36,161+,,,,,16:10:51.5,,4:08.1,,,,,,,0.2,0.2,,
37,118,,,,,16:10:53.4,,4:10.0,,,,,,,1.9,1.9,,
38,118+,,,,,16:10:53.7,,4:10.3,,,,,,,0.3,0.3,,
39,119,,,,,16:11:23.9,,4:40.5,,,,,,,30.2,30.2,,
40,119+,,,,,16:11:24.1,,4:40.7,,,,,,,0.2,0.2,,
41,120,,,,,16:11:29.6,,4:46.2,,,,,,,5.5,5.5,,
42,120+,,,,,16:11:29.8,,4:46.4,,,,,,,0.2,0.2,,
43,121,,,,,16:11:38.7,,4:55.3,,,,,,,8.9,8.9,,
44,121+,,,,,16:11:39.0,,4:55.6,,,,,,,0.3,0.3,,
45,122,,,,,16:12:00.6,,5:17.2,,,,,,,21.6,21.6,,
46,122+,,,,,16:12:00.7,,5:17.3,,,,,,,0.1,0.1,,
47,123,,,,,16:12:08.0,,5:24.6,,,,,,,7.3,7.3,,
48,123+,,,,,16:12:08.2,,5:24.8,,,,,,,0.2,0.2,,
49,124,,,,,16:12:21.4,,5:38.0,,,,,,,13.2,13.2,,
50,124+,,,,,16:12:21.5,,5:38.1,,,,,,,0.1,0.1,,
51,125,,,,,16:12:37.9,,5:54.5,,,,,,,16.4,16.4,,
52,125+,,,,,16:12:38.1,,5:54.7,,,,,,,0.2,0.2,,
53,126,,,,,16:12:44.2,,6:00.8,,,,,,,6.1,6.1,,
