#;Lettura;SIID;CN;Giorno;Orario passaggio;Modalità;N.;Conteggio;Radio;Batteria;SI-Card;Modalità beacon;Gate;Informazione RSSI;
1;02/03/2024 16:06:00;8509875;10;Sa;16:06:00.765;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
2;02/03/2024 16:06:43;8509791;10;Sa;16:06:42.960;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
3;02/03/2024 16:06:47;8509930;10;Sa;16:06:47.304;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
4;02/03/2024 16:07:28;8509878;10;Sa;16:07:27.929;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
5;02/03/2024 16:07:30;8509964;10;Sa;16:07:30.929;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
6;02/03/2024 16:07:42;8509861;10;Sa;16:07:41.703;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
7;02/03/2024 16:08:04;8509975;10;Sa;16:08:04.171;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
8;02/03/2024 16:08:08;8509875;10;Sa;16:08:07.406;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
9;02/03/2024 16:08:26;8509788;10;Sa;16:08:26.039;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
10;02/03/2024 16:08:43;8509850;10;Sa;16:08:43.039;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
11;02/03/2024 16:08:49;8509807;10;Sa;16:08:49.039;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
12;02/03/2024 16:09:13;8509836;10;Sa;16:09:13.101;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
13;02/03/2024 16:09:20;8509951;10;Sa;16:09:19.531;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
14;02/03/2024 16:09:25;8509883;10;Sa;16:09:25.437;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
15;02/03/2024 16:09:54;8509817;10;Sa;16:09:54.960;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
16;02/03/2024 16:10:00;8509846;10;Sa;16:09:59.664;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
17;02/03/2024 16:10:02;8509804;10;Sa;16:10:02.039;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
18;02/03/2024 16:10:48;8509803;10;Sa;16:10:48.039;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
19;02/03/2024 16:10:51;8509915;10;Sa;16:10:51.007;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
20;02/03/2024 16:10:52;8509945;10;Sa;16:10:52.929;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
21;02/03/2024 16:11:23;8509907;10;Sa;16:11:23.632;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
22;02/03/2024 16:11:29;8509861;10;Sa;16:11:29.335;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
23;02/03/2024 16:11:38;8509850;10;Sa;16:11:38.273;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
24;02/03/2024 16:12:00;8509951;10;Sa;16:12:00.273;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
25;02/03/2024 16:12:08;8509915;10;Sa;16:12:07.765;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
26;02/03/2024 16:12:20;8509878;10;Sa;16:12:20.898;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
27;02/03/2024 16:12:37;8509788;10;Sa;16:12:37.570;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
28;02/03/2024 16:12:44;8509791;10;Sa;16:12:43.734;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
29;02/03/2024 16:13:03;8509964;10;Sa;16:13:03.437;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
30;02/03/2024 16:13:15;8509875;10;Sa;16:13:14.796;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
31;02/03/2024 16:13:20;8509975;10;Sa;16:13:20.101;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
32;02/03/2024 16:13:51;8509791;10;Sa;16:13:51.406;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
33;02/03/2024 16:13:55;8509788;10;Sa;16:13:54.664;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
34;02/03/2024 16:13:57;8509945;10;Sa;16:13:57.632;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
35;02/03/2024 16:14:38;8509930;10;Sa;16:14:38.304;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
36;02/03/2024 16:14:59;8509975;10;Sa;16:14:59.601;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
37;02/03/2024 16:15:01;8509817;10;Sa;16:15:01.171;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
38;02/03/2024 16:15:18;8509850;10;Sa;16:15:18.007;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
39;02/03/2024 16:15:40;8509861;10;Sa;16:15:39.929;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
40;02/03/2024 16:15:56;8509964;10;Sa;16:15:56.203;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
41;02/03/2024 16:16:19;8509907;10;Sa;16:16:18.898;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
42;02/03/2024 16:16:34;8509788;10;Sa;16:16:34.406;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
43;02/03/2024 16:16:57;8509817;10;Sa;16:16:56.203;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
44;02/03/2024 16:17:11;8509975;10;Sa;16:17:11.765;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
45;02/03/2024 16:17:34;8509945;10;Sa;16:17:34.273;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
46;02/03/2024 16:17:47;8509964;10;Sa;16:17:47.140;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
47;02/03/2024 16:18:33;8509861;10;Sa;16:18:33.406;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
48;02/03/2024 16:18:37;8509817;10;Sa;16:18:37.007;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
49;02/03/2024 16:19:12;8509804;10;Sa;16:19:12.500;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
50;02/03/2024 16:19:16;8509807;10;Sa;16:19:16.273;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
51;02/03/2024 16:19:50;8509930;10;Sa;16:19:50.765;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
52;02/03/2024 16:19:57;8509791;10;Sa;16:19:57.570;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
53;02/03/2024 16:20:31;8509907;10;Sa;16:20:31.734;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
54;02/03/2024 16:20:36;8509951;10;Sa;16:20:35.632;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
55;02/03/2024 16:21:07;8509807;10;Sa;16:21:07.367;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
56;02/03/2024 16:21:13;8509930;10;Sa;16:21:13.273;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
57;02/03/2024 16:21:44;8509861;10;Sa;16:21:44.070;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
58;02/03/2024 16:21:52;8509975;10;Sa;16:21:51.531;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
59;02/03/2024 16:22:21;8509791;10;Sa;16:22:20.601;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
60;02/03/2024 16:22:28;8509807;10;Sa;16:22:28.835;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
61;02/03/2024 16:23:01;8509964;10;Sa;16:23:01.007;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
62;02/03/2024 16:23:03;8509846;10;Sa;16:23:03.734;BcFinish;0;1;SrRadioSendLast;OK;OK;PunchingMode;No;;
