#;Lettura;SIID;CN;Giorno;Orario passaggio;Modalità;N.;Conteggio;Radio;Batteria;SI-Card;Modalità beacon;Gate;Informazione RSSI;
1;02/03/2024 14:54:47;8509945;10;Sa;14:54:47.304;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
2;02/03/2024 15:09:46;8509875;10;Sa;15:09:45.304;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
3;02/03/2024 15:12:39;8509803;10;Sa;15:12:38.710;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
4;02/03/2024 15:12:54;8509875;10;Sa;15:12:51.859;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
5;02/03/2024 15:13:29;8509836;10;Sa;15:13:27.281;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
6;02/03/2024 15:13:42;8509850;10;Sa;15:13:41.964;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
7;02/03/2024 15:14:07;8509788;10;Sa;15:14:05.863;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
8;02/03/2024 15:14:25;8509846;10;Sa;15:14:24.671;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
9;02/03/2024 15:14:36;8509951;10;Sa;15:14:35.988;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
10;02/03/2024 15:15:05;8509791;10;Sa;15:15:04.101;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
11;02/03/2024 15:15:15;8509817;10;Sa;15:15:12.937;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
12;02/03/2024 15:15:46;8509883;10;Sa;15:15:44.640;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
13;02/03/2024 15:15:52;8509930;10;Sa;15:15:52.304;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
14;02/03/2024 15:16:26;8509878;10;Sa;15:16:25.152;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
15;02/03/2024 15:17:06;8509964;10;Sa;15:17:04.804;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
16;02/03/2024 15:17:11;8509804;10;Sa;15:17:11.078;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
17;02/03/2024 15:17:48;8509907;10;Sa;15:17:46.859;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
18;02/03/2024 15:17:59;8509945;10;Sa;15:17:59.070;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
19;02/03/2024 15:18:30;8509915;10;Sa;15:18:29.632;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
20;02/03/2024 15:18:40;8509807;10;Sa;15:18:39.878;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
21;02/03/2024 15:19:09;8509975;10;Sa;15:19:08.226;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
22;02/03/2024 15:19:21;8509878;10;Sa;15:19:20.328;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
23;02/03/2024 15:19:48;8509861;10;Sa;15:19:47.007;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
24;02/03/2024 15:20:29;8509850;10;Sa;15:20:28.773;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
25;02/03/2024 15:20:35;8509945;10;Sa;15:20:35.109;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
26;02/03/2024 15:21:01;8509915;10;Sa;15:21:00.429;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
27;02/03/2024 15:21:19;8509975;10;Sa;15:21:18.777;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
28;02/03/2024 15:21:24;8509807;10;Sa;15:21:23.777;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
29;02/03/2024 15:21:34;8509861;10;Sa;15:21:32.964;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
30;02/03/2024 15:22:02;8509945;10;Sa;15:22:02.210;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
31;02/03/2024 15:22:08;8509804;10;Sa;15:22:07.773;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
32;02/03/2024 15:22:11;8509788;10;Sa;15:22:10.078;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
33;02/03/2024 15:22:45;8509850;10;Sa;15:22:45.000;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
34;02/03/2024 15:22:53;8509846;10;Sa;15:22:53.171;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
35;02/03/2024 15:23:02;8509878;10;Sa;15:23:01.132;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
36;02/03/2024 15:23:23;8509945;10;Sa;15:23:23.417;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
37;02/03/2024 15:23:38;8509975;10;Sa;15:23:37.417;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
38;02/03/2024 15:23:47;8509930;10;Sa;15:23:47.027;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
39;02/03/2024 15:24:00;8509807;10;Sa;15:23:59.406;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
40;02/03/2024 15:24:20;8509878;10;Sa;15:24:19.507;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
41;02/03/2024 15:24:36;8509975;10;Sa;15:24:36.406;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
42;02/03/2024 15:24:45;8509907;10;Sa;15:24:43.558;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
43;02/03/2024 15:25:13;8509915;10;Sa;15:25:11.886;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
44;02/03/2024 15:25:23;8509930;10;Sa;15:25:23.019;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
45;02/03/2024 15:25:43;8509850;10;Sa;15:25:43.015;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
46;02/03/2024 15:25:51;8509951;10;Sa;15:25:50.988;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
47;02/03/2024 15:26:05;8509964;10;Sa;15:26:03.957;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
48;02/03/2024 15:26:34;8509975;10;Sa;15:26:33.101;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
49;02/03/2024 15:26:38;8509883;10;Sa;15:26:37.730;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
50;02/03/2024 15:27:02;8509878;10;Sa;15:27:00.878;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
51;02/03/2024 15:27:29;8509788;10;Sa;15:27:28.046;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
52;02/03/2024 15:27:33;8509846;10;Sa;15:27:33.179;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
53;02/03/2024 15:28:03;8509836;10;Sa;15:28:01.691;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
54;02/03/2024 15:28:12;8509803;10;Sa;15:28:11.742;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
55;02/03/2024 15:28:46;8509930;10;Sa;15:28:46.121;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
56;02/03/2024 15:28:54;8509804;10;Sa;15:28:53.574;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
57;02/03/2024 15:29:02;8509875;10;Sa;15:29:00.375;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
58;02/03/2024 15:29:38;8509883;10;Sa;15:29:37.171;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
59;02/03/2024 15:29:41;8509964;10;Sa;15:29:40.531;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
60;02/03/2024 15:29:48;8509945;10;Sa;15:29:47.855;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
61;02/03/2024 15:30:15;8509951;10;Sa;15:30:14.703;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
62;02/03/2024 15:30:22;8509930;10;Sa;15:30:22.039;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
63;02/03/2024 15:30:38;8509817;10;Sa;15:30:37.007;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
64;02/03/2024 15:30:52;8509788;10;Sa;15:30:50.855;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
65;02/03/2024 15:31:04;8509875;10;Sa;15:31:03.066;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
66;02/03/2024 15:31:19;8509861;10;Sa;15:31:17.945;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
67;02/03/2024 15:31:27;8509850;10;Sa;15:31:26.843;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
68;02/03/2024 15:31:45;8509836;10;Sa;15:31:44.476;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
69;02/03/2024 15:32:24;8509850;10;Sa;15:32:23.773;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
70;02/03/2024 15:32:29;8509788;10;Sa;15:32:27.285;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
71;02/03/2024 15:32:31;8509817;10;Sa;15:32:29.660;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
72;02/03/2024 15:33:05;8509964;10;Sa;15:33:03.886;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
73;02/03/2024 15:33:11;8509945;10;Sa;15:33:10.753;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
74;02/03/2024 15:33:17;8509861;10;Sa;15:33:16.796;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
75;02/03/2024 15:33:53;8509803;10;Sa;15:33:53.039;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
76;02/03/2024 15:33:58;8509846;10;Sa;15:33:57.101;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
77;02/03/2024 15:34:20;8509883;10;Sa;15:34:18.203;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
78;02/03/2024 15:34:35;8509907;10;Sa;15:34:34.816;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
79;02/03/2024 15:34:40;8509930;10;Sa;15:34:39.835;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
80;02/03/2024 15:35:14;8509975;10;Sa;15:35:12.429;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
81;02/03/2024 15:35:22;8509875;10;Sa;15:35:20.968;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
82;02/03/2024 15:35:25;8509788;10;Sa;15:35:24.558;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
83;02/03/2024 15:35:57;8509846;10;Sa;15:35:56.394;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
84;02/03/2024 15:36:04;8509878;10;Sa;15:36:03.265;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
85;02/03/2024 15:36:28;8509915;10;Sa;15:36:26.660;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
86;02/03/2024 15:36:40;8509883;10;Sa;15:36:38.726;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
87;02/03/2024 15:36:45;8509836;10;Sa;15:36:42.792;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
88;02/03/2024 15:37:21;8509945;10;Sa;15:37:21.199;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
89;02/03/2024 15:37:27;8509804;10;Sa;15:37:26.128;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
90;02/03/2024 15:37:30;8509964;10;Sa;15:37:28.691;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
91;02/03/2024 15:38:01;8509791;10;Sa;15:38:00.183;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
92;02/03/2024 15:38:06;8509803;10;Sa;15:38:05.058;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
93;02/03/2024 15:38:12;8509817;10;Sa;15:38:11.765;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
94;02/03/2024 15:38:36;8509850;10;Sa;15:38:36.015;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
95;02/03/2024 15:38:49;8509788;10;Sa;15:38:47.886;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
96;02/03/2024 15:38:53;8509951;10;Sa;15:38:53.046;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
97;02/03/2024 15:39:16;8509807;10;Sa;15:39:15.312;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
