#;Lettura;SIID;CN;Giorno;Orario passaggio;Modalità;N.;Conteggio;Radio;Batteria;SI-Card;Modalità beacon;Gate;Informazione RSSI;
4;02/03/2024 16:34:46;8509788;10;Sa;16:34:45.898;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
14;02/03/2024 16:34:47;8509791;10;Sa;16:34:45.621;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
17;02/03/2024 16:34:47;8509791;10;Sa;16:34:45.621;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
2;02/03/2024 16:34:46;8509804;10;Sa;16:34:45.722;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
9;02/03/2024 16:34:46;8509817;10;Sa;16:34:45.812;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
18;02/03/2024 16:34:47;8509817;10;Sa;16:34:45.812;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
12;02/03/2024 16:34:47;8509836;10;Sa;16:34:45.652;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
10;02/03/2024 16:34:46;8509846;10;Sa;16:34:45.785;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
15;02/03/2024 16:34:47;8509861;10;Sa;16:34:45.804;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
11;02/03/2024 16:34:47;8509875;10;Sa;16:34:45.703;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
16;02/03/2024 16:34:47;8509875;10;Sa;16:34:45.703;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
8;02/03/2024 16:34:46;8509878;10;Sa;16:34:45.757;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
19;02/03/2024 16:34:47;8509883;10;Sa;16:34:45.652;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
5;02/03/2024 16:34:46;8509907;10;Sa;16:34:45.796;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
13;02/03/2024 16:34:47;8509915;10;Sa;16:34:45.859;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
1;02/03/2024 16:34:45;8509930;10;Sa;16:34:45.335;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
3;02/03/2024 16:34:46;8509945;10;Sa;16:34:45.832;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
7;02/03/2024 16:34:46;8509951;10;Sa;16:34:45.656;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
6;02/03/2024 16:34:46;8509975;10;Sa;16:34:45.726;BcFinish;0;1;SrRadioSendLast;OK;OK;TimingMode;No;;
